 ,Label,Area,Mean,StdDev,Min,Max,%Area,MinThr,MaxThr
1,1_A_1 - White Light.tif,1228800,84.738,40.851,0,249,99.489,0,255
2,1_A_2 - White Light.tif,1228800,9.038,19.667,0,177,41.647,0,255
3,1_A_3 - White Light.tif,1228800,26.994,32.843,0,188,72.547,0,255
4,1_A_4 - White Light.tif,1228800,25.268,31.750,0,218,82.165,0,255
5,1_A_5 - White Light.tif,1228800,42.057,39.100,0,225,95.467,0,255
6,1_A_6 - White Light.tif,1228800,61.056,43.860,0,226,99.023,0,255
7,1_B_ - White Light.tif,1228800,61.714,37.193,0,246,97.268,0,255
8,1_B_1 - White Light.tif,1228800,61.714,37.193,0,246,97.268,0,255
9,1_B_2 - White Light.tif,1228800,47.565,48.112,0,254,78.105,0,255
10,1_B_3 - White Light.tif,1228800,31.467,34.975,0,210,80.048,0,255
11,1_B_4 - White Light.tif,1228800,36.190,33.573,0,209,91.461,0,255
12,1_B_5 - White Light.tif,1228800,79.500,37.765,0,224,99.460,0,255
13,1_B_6 - White Light.tif,1228800,115.091,34.703,0,251,99.992,0,255
14,1_C_1 - White Light.tif,1228800,59.030,41.847,0,243,96.657,0,255
15,1_C_2 - White Light.tif,1228800,26.519,35.023,0,211,63.372,0,255
16,1_C_3 - White Light.tif,1228800,18.545,28.751,0,219,57.420,0,255
17,1_C_4 - White Light.tif,1228800,71.875,39.347,0,219,99.135,0,255
18,1_C_5 - White Light.tif,1228800,59.017,40.927,0,227,97.091,0,255
19,1_C_6 - White Light.tif,1228800,118.746,43.465,0,253,99.933,0,255
20,1_D_1 - White Light.tif,1228800,47.461,36.800,0,222,97.620,0,255
21,1_D_2 - White Light.tif,1228800,39.927,46.917,0,209,71.619,0,255
22,1_D_3 - White Light.tif,1228800,54.448,46.047,0,209,83.915,0,255
23,1_D_4 - White Light.tif,1228800,89.607,41.082,0,233,98.260,0,255
24,1_D_5 - White Light.tif,1228800,52.988,38.989,0,232,96.153,0,255
25,1_D_6 - White Light.tif,1228800,98.728,39.563,0,249,99.793,0,255
26,2_A_1 - White Light.tif,1228800,51.964,38.353,0,221,97.593,0,255
27,2_A_2 - White Light.tif,1228800,50.847,38.811,0,224,98.341,0,255
28,2_A_3 - White Light.tif,1228800,69.268,39.493,0,245,99.464,0,255
29,2_A_4 - White Light.tif,1228800,50.776,33.380,0,216,98.427,0,255
30,2_B_1 - White Light.tif,1228800,55.642,43.739,0,241,96.201,0,255
31,2_B_2 - White Light.tif,1228800,57.183,36.997,0,223,97.817,0,255
32,2_B_3 - White Light.tif,1228800,57.301,40.118,0,245,93.509,0,255
33,2_B_4 - White Light.tif,1228800,68.539,39.132,0,235,99.287,0,255
34,2_C_1 - White Light.tif,1228800,63.396,35.491,0,229,99.223,0,255
35,2_C_2 - White Light.tif,1228800,126.754,44.165,0,238,99.861,0,255
36,2_C_3 - White Light.tif,1228800,107.340,46.407,0,234,98.481,0,255
37,2_C_4 - White Light.tif,1228800,130.261,47.326,0,241,99.987,0,255
38,2_D_1 - White Light.tif,1228800,48.108,40.661,0,238,95.391,0,255
39,2_D_2 - White Light.tif,1228800,79.571,40.565,0,235,99.084,0,255
40,2_D_3 - White Light.tif,1228800,81.850,43.401,0,220,96.573,0,255
41,2_D_4 - White Light.tif,1228800,62.895,35.153,0,239,99.207,0,255
